id,name,literal,cn,category,type,summary,value,url,githubRepo,heatLevel,heatNote,openSource,localDeploy,chinaUsability,riskLevel,riskNote,recommend,sourceType,sourceConfidence,reviewStatus,lastVerifiedAt,pricing,license,apiSupport,mcpSupport,commercialUse,dataPrivacy,riskTags,recommendedFor
bolt-diy,bolt.diy,闪电自制版,bolt.diy,ai-coding,开源项目,Bolt开源社区版，可接多模型。,适合研究Prompt-to-App开源实现。,https://github.com/stackblitz-labs/bolt.diy,stackblitz-labs/bolt.diy,S,开源应用生成器代表。,True,True,较好,中,注意模型密钥和生成代码审查。,推荐研究。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,开发者/产品团队
langchain,LangChain,语言链,LangChain,agent,开源项目,LLM应用开发框架，连接模型、工具、检索和Agent。,构建AI应用和Agent工作流的常用基础设施。,https://www.langchain.com/,langchain-ai/langchain,SSS,开源LLM生态核心项目之一。,True,True,较好,中,版本变化快，生产需锁版本和测试。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,是/常见,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
langgraph,LangGraph,语言图,LangGraph,agent,开源项目,有状态、长任务、可恢复的Agent编排框架。,适合复杂Agent、人工审批、状态机和持久执行。,https://github.com/langchain-ai/langgraph,langchain-ai/langgraph,S,Agent编排重要项目。,True,True,较好,中,架构复杂，上手成本较高。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
llamaindex,LlamaIndex,Llama索引,LlamaIndex,knowledge-base,开源项目,RAG、文档索引和数据连接框架。,把PDF、数据库、网页、文档接入LLM。,https://www.llamaindex.ai/,run-llama/llama_index,SS,RAG生态核心项目之一。,True,True,较好,中,文档解析质量需评测。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,是/常见,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
crewai,CrewAI,团队AI,CrewAI,agent,开源项目,多Agent协作和自动化框架。,用角色/任务/流程构建Agent团队。,https://www.crewai.com/,crewAIInc/crewAI,SS,多Agent热门框架。,True,True,较好,中,复杂任务要加评测和日志。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
autogen,AutoGen,自动生成,AutoGen,agent,开源项目,微软多Agent框架方向。,研究多Agent会话、协作、工具调用。,https://github.com/microsoft/autogen,microsoft/autogen,SS,历史影响力高，需注意维护状态变化。,True,True,较好,中,需确认当前推荐框架和维护状态。,研究参考。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
dify,Dify,品牌名,Dify,automation,开源项目/平台,开源LLM应用平台，支持Agent、RAG、Workflow。,适合企业知识库、聊天应用、自动化工作流。,https://dify.ai/,langgenius/dify,SSS,中文/国际都很热。,True,True,好,中,私有化部署需关注数据和权限配置。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,是/常见,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
flowise,Flowise,流式智能,Flowise,automation,开源项目,可视化构建LLM/Agent/RAG工作流。,低代码搭建AI应用和Chatflow。,https://flowiseai.com/,FlowiseAI/Flowise,SS,低代码LLM构建器代表。,True,True,较好,中,生产部署需加鉴权和密钥管理。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
langflow,Langflow,语言流,Langflow,automation,开源项目,低代码AI Builder，可构建Agent、RAG、MCP Server。,适合可视化搭建AI工作流。,https://www.langflow.org/,langflow-ai/langflow,SSS,热度高，但需定期刷新数据。,True,True,较好,中,低代码不等于低风险，需控制权限。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,是/常见,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
mcp,MCP,模型上下文协议,MCP / Model Context Protocol,mcp-protocol,协议,连接AI应用与外部工具/数据源的开放协议。,让Agent统一接文件、数据库、GitHub、浏览器、工具。,https://modelcontextprotocol.io/,modelcontextprotocol/registry,SSS,Agent生态关键协议。,True,True,较好,高,MCP Server权限、工具投毒、提示注入风险必须提示。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,是/常见,相关/可接入,谨慎/需核验授权,本地更可控,高风险复核|本地部署|开源项目,AI 工具选型用户
a2a,A2A,Agent到Agent,Agent2Agent Protocol,mcp-protocol,协议,Agent之间互相发现、协作和通信的协议方向。,未来多Agent生态互通基础。,https://developers.googleblog.com/,,S,新兴协议，需持续跟踪。,True,True,较好,中,标准和实践仍在演进。,观察+收录。,官网/平台公开,中,已初审,2026-06-21,开源免费,平台条款/需核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署,AI 工具选型用户
ag-ui,AG-UI,Agent用户界面,Agent-User Interaction Protocol,mcp-protocol,协议,Agent后端和前端UI通信的开放协议。,为Agent前端应用提供事件式交互标准。,https://docs.ag-ui.com/,,A,新兴协议。,True,True,较好,中,生态仍早期。,观察。,官网/平台公开,中,已初审,2026-06-21,开源免费,平台条款/需核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署,AI 工具选型用户
nlweb,NLWeb,自然语言网页,NLWeb,mcp-protocol,开源项目/协议,让网站具备自然语言接口和Agent可访问入口。,未来网站可提供/ask和/mcp接口。,https://github.com/nlweb-ai/NLWeb,nlweb-ai/NLWeb,A,新兴方向。,True,True,较好,中,需关注数据暴露和权限。,观察。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
glama,Glama,品牌名,Glama MCP Registry,mcp-protocol,平台,MCP Server注册表、Inspector和Gateway。,参考license/quality/maintenance评分和MCP安全提示。,https://glama.ai/,,S,MCP生态重要注册表。,False,False,一般,中,注册表评分仅作参考。,竞品/灵感。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,是/常见,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
pulsemcp,PulseMCP,脉冲MCP,PulseMCP,mcp-protocol,平台,MCP Server目录与聚合平台。,参考聚合多源MCP Server和每日更新机制。,https://www.pulsemcp.com/servers,,S,站点口径约19k+ MCP servers。,False,False,一般,中,数量需核验，工具安全需自行判断。,竞品/灵感。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,是/常见,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
lovart,Lovart AI,Love + Art / 爱艺术,Lovart AI,design-image-video,平台,AI Design Agent，面向品牌、包装、社媒和广告设计。,适合设计方案生成、品牌视觉原型、商业设计灵感。,https://www.lovart.ai/,,S,新兴AI设计Agent。,False,False,一般,中,商用前核验输出版权和素材来源。,设计方向重点收录。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
liblibai,LiblibAI,哩布哩布 / 品牌名,哩布哩布AI,design-image-video,平台,国内AI创作平台和模型社区，支持WebUI、ComfyUI、生图、训练。,国内设计师找模型、LoRA、在线生成的重要平台。,https://www.liblib.art/,,SS,官网口径10万+模型免费下载。,False,False,好,中,模型授权、版权、肖像和商用风险需核验。,国内设计重点。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款,AI 工具选型用户
comfyui,ComfyUI,舒适UI,ComfyUI,design-image-video,开源项目,节点式AI图像/视频/音频工作流工具。,适合本地绘图、视频生成、批量素材生成和工作流复用。,https://github.com/comfyanonymous/ComfyUI,comfyanonymous/ComfyUI,SSS,AI图像工作流核心开源项目。,True,True,好,中,模型/节点来源、授权和依赖安全需注意。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
civitai,Civitai,品牌名,Civitai,design-image-video,平台,国际AI图像模型、LoRA和作品社区。,找风格模型、LoRA、示例图和生成参数。,https://civitai.com/,,SS,国际AI绘图社区高热。,False,False,一般,高,版权、肖像、NSFW、滥用和商用授权风险高。,重点收录但需强风险提示。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,谨慎/需核验授权,云端处理/需读隐私政策,高风险复核|平台条款|国内可用性复核,AI 工具选型用户
huggingface,Hugging Face,拥抱脸,Hugging Face,models,平台,模型、数据集、Spaces和开源AI社区。,寻找模型、数据集、Demo、开源AI项目。,https://huggingface.co/,huggingface/transformers,SSS,全球AI开源生态核心平台。,False,False,一般,中,模型许可证、数据来源和安全需核验。,必收。,GitHub,高,已初审,2026-06-21,平台定价/需核验,需从 GitHub API 核验,是/常见,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|开源项目|国内可用性复核,AI 工具选型用户
modelscope,ModelScope,模型范围,魔搭 ModelScope,models,平台,国内模型社区和模型服务平台。,国内模型下载、推理、训练、应用参考。,https://www.modelscope.cn/,modelscope/modelscope,SS,国内模型生态重要平台。,True,True,好,中,模型授权和数据合规仍需核验。,国内必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
midjourney,Midjourney,中途旅程,Midjourney,design-image-video,平台,高质量AI图像生成平台。,视觉创意、海报、概念图、设计灵感。,https://www.midjourney.com/,,SS,商业AI图像生成代表。,False,False,一般,中,版权和商用条款需核验。,设计方向重点。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
runway,Runway,跑道,Runway,design-image-video,平台,AI视频生成与编辑平台。,视频生成、剪辑、创意短片。,https://runwayml.com/,,S,AI视频代表平台。,False,False,一般,中,商用和素材权利需核验。,视频方向重点。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
kling,Kling,可灵,可灵 AI,design-image-video,平台,国内AI视频生成平台。,中文用户视频生成、图生视频。,https://klingai.kuaishou.com/,,S,国内AI视频高热。,False,False,好,中,商业授权和人物肖像需核验。,国内视频重点。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款,AI 工具选型用户
ollama,Ollama,品牌名,Ollama,local-deploy,开源项目/软件,本地运行开源大模型的工具。,本地跑DeepSeek、Qwen、Llama、Gemma、Hermes等。,https://ollama.com/,ollama/ollama,SSS,本地模型运行器核心项目。,True,True,好,中,模型来源和本地端口暴露需注意。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
open-webui,Open WebUI,开放网页界面,Open WebUI,local-deploy,开源项目,本地/私有AI聊天界面，常和Ollama搭配。,搭建私有ChatGPT、知识库和多模型入口。,https://github.com/open-webui/open-webui,open-webui/open-webui,SSS,本地AI界面高热项目。,True,True,好,中,外网暴露需鉴权，知识库数据需保护。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
llama-cpp,llama.cpp,Llama C++,llama.cpp,local-deploy,开源项目,本地量化模型推理底层项目。,GGUF、CPU/GPU本地运行模型。,https://github.com/ggerganov/llama.cpp,ggerganov/llama.cpp,SSS,本地LLM底层核心。,True,True,好,中,模型许可证和二进制来源需核验。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
vllm,vLLM,向量化LLM / 品牌名,vLLM,local-deploy,开源项目,高性能LLM推理服务框架。,服务器部署、多用户API、高吞吐推理。,https://github.com/vllm-project/vllm,vllm-project/vllm,SS,服务端推理重要项目。,True,True,较好,中,部署复杂，需要GPU和安全配置。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
lm-studio,LM Studio,语言模型工作室,LM Studio,local-deploy,软件,本地模型GUI运行工具。,新手本地下载、运行和测试模型。,https://lmstudio.ai/,,S,本地模型新手常用。,False,True,好,中,注意模型许可证和本地服务暴露。,新手推荐。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,本地更可控,平台条款|本地部署,AI 工具选型用户
obsidian,Obsidian,黑曜石,Obsidian,knowledge-base,软件,本地Markdown笔记和第二大脑工具。,可作为个人AI知识库、RAG数据源和项目经验库。,https://obsidian.md/,,S,PKM社区高热。,False,True,好,低,插件来源需注意安全。,重要导出选项之一，但不绑定。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,相关/可接入,取决于平台条款,本地更可控,平台条款|本地部署,AI 工具选型用户
notion,Notion,概念,Notion,knowledge-base,平台,在线文档、数据库和协作工具。,适合团队管理AI工具库和评测记录。,https://www.notion.com/,,SS,全球知识库/协作工具高热。,False,False,一般,中,数据在云端，企业敏感信息需谨慎。,重要导出选项。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
notebooklm,NotebookLM,笔记本语言模型,NotebookLM,knowledge-base,平台,基于资料的AI研究和笔记工具。,适合资料阅读、报告/论文问答和总结。,https://notebooklm.google/,,S,Google资料型AI产品。,False,False,一般,中,上传资料涉及隐私与合规。,学习/研究场景重点。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
anythingllm,AnythingLLM,任何东西LLM,AnythingLLM,knowledge-base,开源项目/软件,本地/私有知识库和AI工作区。,适合个人/团队私有RAG、知识库问答。,https://anythingllm.com/,Mintplex-Labs/anything-llm,S,私有知识库工具。,True,True,较好,中,数据和模型配置需安全管理。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
zotero,Zotero,品牌名,Zotero,knowledge-base,开源项目/软件,文献管理工具。,AI研究、论文收集、引用和资料库基础。,https://www.zotero.org/,zotero/zotero,S,学术文献管理核心工具。,True,True,好,低,同步服务和插件需注意隐私。,研究场景推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
n8n,n8n,品牌名,n8n,automation,开源项目/平台,自动化工作流平台，支持AI Agent节点和大量集成。,邮件、RSS、GitHub、数据库、AI自动化流程。,https://n8n.io/,n8n-io/n8n,SS,自动化高热项目。,True,True,好,中,自动化误操作、重复发送、密钥权限需控制。,必收。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
zapier,Zapier,品牌名,Zapier,automation,平台,云端自动化连接平台。,连接SaaS工具和AI自动化流程。,https://zapier.com/,,SS,自动化平台代表。,False,False,一般,中,云端自动化涉及账号权限和隐私。,国际自动化参考。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,是/常见,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
make,Make,制作,Make.com,automation,平台,可视化自动化工作流平台。,低代码连接工具、数据和AI流程。,https://www.make.com/,,S,自动化平台代表。,False,False,一般,中,云端权限与费用需注意。,可选。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
coze,Coze,扣子,扣子 Coze,automation,平台,字节系AI Bot/Agent构建平台。,中文用户构建聊天机器人、工作流和插件。,https://www.coze.cn/,,S,国内Agent/Bot平台高热。,False,False,好,中,平台锁定和数据上传需注意。,国内自动化/Agent重点。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款,AI 工具选型用户
browser-use,Browser-use,浏览器使用,Browser-use,browser-agent,开源项目,让AI Agent操作真实浏览器的网站自动化工具。,网页任务、数据提取、表单操作、竞品调研。,https://github.com/browser-use/browser-use,browser-use/browser-use,SS,Browser Agent代表项目。,True,True,较好,高,网页提示注入、账号权限、误点击风险高。,重点收录但强风险提示。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,谨慎/需核验授权,本地更可控,高风险复核|本地部署|开源项目,数据采集/网页自动化
stagehand,Stagehand,舞台助手,Stagehand,browser-agent,开源项目,AI浏览器自动化框架，支持act/extract/observe。,用自然语言+代码控制浏览器。,https://github.com/browserbase/stagehand,browserbase/stagehand,S,AI浏览器自动化代表。,True,True,较好,高,浏览器权限和网页注入风险。,推荐研究。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,谨慎/需核验授权,本地更可控,高风险复核|本地部署|开源项目,数据采集/网页自动化
comet,Perplexity Comet,彗星,Comet AI浏览器,browser-agent,软件/平台,Perplexity的AI浏览器/助手。,网页搜索、研究、总结和浏览器任务。,https://www.perplexity.ai/comet,,S,AI浏览器代表之一。,False,False,一般,高,AI浏览器涉及账号、网页内容和提示注入。,观察。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,谨慎/需核验授权,云端处理/需读隐私政策,高风险复核|平台条款|国内可用性复核,数据采集/网页自动化
promptfoo,Promptfoo,提示词Foo / 品牌名,Promptfoo,llmops,开源项目,LLM应用测试、评估和红队工具。,测试Prompt、模型输出、RAG质量、安全风险。,https://www.promptfoo.dev/,promptfoo/promptfoo,S,LLMOps/Eval重要工具。,True,True,较好,低,测试样例质量决定结果可信度。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
langsmith,LangSmith,语言工匠,LangSmith,llmops,平台,LangChain生态观测、调试、评测平台。,Agent/LLM调用Tracing、评测和监控。,https://www.langchain.com/langsmith,,S,LLMOps代表平台。,False,False,一般,中,日志可能包含敏感数据，需脱敏。,企业/开发者推荐。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,是/常见,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
phoenix,Arize Phoenix,凤凰,Phoenix,llmops,开源项目,LLM/RAG可观测和评测工具。,监控RAG、Embedding、评测和Tracing。,https://phoenix.arize.com/,Arize-ai/phoenix,S,开源LLMOps项目。,True,True,较好,中,日志数据需保护。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
firecrawl,Firecrawl,火焰爬虫,Firecrawl,data-crawling,开源项目/平台,网页抓取并转换为LLM友好Markdown/API的数据采集工具。,给RAG/Agent提供网页数据。,https://www.firecrawl.dev/,mendableai/firecrawl,S,Web data for AI热门项目。,True,True,一般,中,爬取需遵守robots、版权和网站条款。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,是/常见,相关/可接入,取决于 License,本地更可控,本地部署|开源项目|国内可用性复核,AI 工具选型用户
crawl4ai,Crawl4AI,为AI爬取,Crawl4AI,data-crawling,开源项目,面向LLM的开源网页爬取和数据提取工具。,为RAG、Agent、数据采集提供网页数据。,https://github.com/unclecode/crawl4ai,unclecode/crawl4ai,S,AI爬虫方向热门。,True,True,较好,中,遵守网站条款和版权。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,AI 工具选型用户
exa,Exa,前缀exa / 品牌名,Exa,ai-search,平台/API,面向AI应用的语义搜索/API。,给Agent、研究助手、RAG提供Web搜索能力。,https://exa.ai/,,S,AI搜索API代表。,False,False,一般,中,API成本、数据来源和隐私需注意。,推荐。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,是/常见,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,AI 工具选型用户
